Indiv,Yield_E1_Suwon_2024,Yield_E2_Milyang_2024,Yield_E3_Iksan_2024
RIL001,44.323407744690535,47.19503846996726,47.43864822097107
RIL002,53.9722780009859,56.910709578110946,54.32918015468995
RIL003,46.30938406899376,48.71060618881249,46.90132350161264
RIL004,44.668987449112294,44.189040272194894,41.73346540191425
RIL005,56.517417219478666,58.87485056580332,55.600058084975394
RIL006,,,
RIL007,51.96145132382252,57.983042905197316,55.304217639108096
RIL008,51.94989294020199,53.91565306259099,51.23867188456591
RIL009,52.0765545886568,55.36548323959388,54.24930482212941
RIL010,45.642720448832605,51.19224406807233,47.51646945186934
RIL011,54.44672975503234,56.36139735677759,54.76987631989076
RIL012,45.926798441551774,49.150930675288464,42.16611459561467
RIL013,45.25863474069293,43.94829252536316,42.81535639506783
RIL014,55.56158688617573,58.60435962122513,56.74814240183743
RIL015,46.97761989167365,52.595412967991884,46.756138978834606
RIL016,45.24737023873149,45.8933562493614,46.63142550278683
RIL017,48.02227298368706,51.78283627003787,49.19551695285173
RIL018,50.18640415717765,52.439385228133965,51.57268766444986
RIL019,44.14363091375095,49.614598364541074,47.81489732827825
RIL020,55.5561378834505,57.54876723082171,63.11313540910153
RIL021,43.98115646334714,47.83709209426744,44.27609185319354
RIL022,53.481799440328274,55.51294569099213,50.78297753153277
RIL023,50.01629368990114,49.94356534140427,54.16334356637765
RIL024,44.972488606064125,48.13982015761007,43.96909476971769
RIL025,45.383221720799206,46.376935975299325,45.068170972750394
RIL026,58.2095924630836,60.453969862333004,54.779272288495925
RIL027,53.441577473248316,53.79286009306936,56.597358838167565
RIL028,48.38056207146715,47.85649643652698,51.319071421726
RIL029,57.077937730991515,61.82032811961785,53.14564515750171
RIL030,54.32423846687944,54.426074247445776,48.914818101420074
RIL031,58.398884352973276,55.836793033407176,59.57340338728837
RIL032,33.82279010048758,37.95653692528285,36.01785424655253
RIL033,45.43609276728879,48.21289658956314,43.79783386390179
RIL034,53.64389428619042,58.77635078613312,55.197326913929324
RIL035,46.47286390757467,46.14742668764506,42.546831870913365
RIL036,40.12068304619219,41.94979862137372,44.07464890013839
RIL037,38.92114042918558,42.48108848014182,40.10104054315668
RIL038,43.58910316470257,44.83065558374927,43.50808378503612
RIL039,45.10356458585743,45.02041579872358,40.92070278611453
RIL040,56.42454529624638,55.40241387750552,54.50436097054377
RIL041,50.394892122689754,53.50282135999239,51.24917673796991
RIL042,39.71707989665064,41.375815812545035,40.885728612170276
RIL043,54.61234875039184,54.655244516658406,52.61728965523141
RIL044,50.66080660671197,51.75209274704356,48.83163625778005
RIL045,57.09818586036879,58.16508973431642,56.78374724252733
RIL046,60.424829318505545,57.962302242796135,59.82289858699015
RIL047,46.45962336878087,50.91948593729416,48.194178106130344
RIL048,,,
RIL049,40.78748791704059,44.41527248706567,43.71501760196439
RIL050,51.3142912833211,54.32029231977637,48.44898815524162
RIL051,59.35636748258401,61.555801062089245,58.463968600358164
RIL052,55.55796537366989,54.239123578782404,56.7072865501168
RIL053,48.94122276159788,54.09956390298077,49.129915507059444
RIL054,50.324663368761,53.968297795149354,51.37159528287208
RIL055,56.15521324055661,57.364496173471984,53.33818541745254
RIL056,44.890759850315376,48.65971026188689,43.222401209280555
RIL057,52.87791722772117,56.33741798450005,54.40932104532482
RIL058,48.6128345648656,50.542175793907354,49.05657077332733
RIL059,46.50475768446027,46.08629791553671,44.3306371104996
RIL060,47.437882120868,50.77206785091481,48.02520374584601
RIL061,47.547579612276834,46.973474861043556,49.43607437139017
RIL062,56.66957233152585,59.21356743117141,57.44099886347132
RIL063,49.494742193927905,54.6966046157374,47.78058573317742
RIL064,47.238027593746494,50.865363214985734,47.59427221439969
RIL065,40.669757052650546,38.6552255979955,38.9849487226969
RIL066,53.025035995041286,53.39562872682406,54.41756051145146
RIL067,48.416637997017204,53.890657283873374,50.08459520257059
RIL068,52.85000147554135,54.19339845428275,52.982707106297994
RIL069,54.67860774536505,59.264711136321885,55.791127261234905
RIL070,54.05783921837803,53.545211115522164,51.67368915855326
RIL071,56.69732210422229,53.14495312478309,60.18526978598766
RIL072,43.88477848535714,45.1113299844401,42.899458309718135
RIL073,62.14616848780897,60.48666700081253,61.45887020680551
RIL074,60.62484195975176,61.704726204505775,59.429970050385144
RIL075,43.68500570470472,46.84689960642531,44.22109911387317
RIL076,57.43628487332543,60.88828619850073,59.43437069820864
RIL077,51.130791392553604,55.174446303345434,51.12823844639196
RIL078,,,
RIL079,44.80406312383262,47.44814829539132,48.58403478423041
RIL080,57.42768929354739,56.67043122431188,55.76253341050648
RIL081,57.895039032618016,58.00254279484638,52.33165411720694
RIL082,66.9080718004559,68.24884816902762,66.31568754626193
RIL083,51.359021852598566,49.65177945215641,49.92297122042771
RIL084,52.7292606886504,58.439537034997926,56.39675930700647
RIL085,41.86914914251486,42.981153006775585,40.29822803539444
RIL086,42.20125577354655,42.22488625317043,42.32998204398748
RIL087,56.46088779017633,58.99185596563475,59.822948762019976
RIL088,44.65871748876341,47.54976875681618,45.13811311662084
RIL089,49.15921897067911,49.626841674821804,55.530283801879996
RIL090,51.207335160046554,55.692865944861396,53.77675963528823
RIL091,50.951615145213744,51.855956541684165,52.612543789050676
RIL092,45.65024173508525,44.495174626481564,45.32483966332849
RIL093,60.853517162494775,61.508131202723426,57.81207911004945
RIL094,50.250357349906075,51.2266208388279,53.57347948892836
RIL095,46.936445306305,47.21913727741595,39.83868592810821
RIL096,57.24533369631419,61.621927373835724,57.0459713851951
RIL097,43.56336181935313,50.11264310655756,44.171665572946665
RIL098,55.0472060853113,58.7649935258646,53.23112008042076
RIL099,56.975467075298546,60.35407608424093,48.89113419577198
RIL100,50.36751332459244,50.845949014931996,51.46222815708692
RIL101,47.65532617990873,53.15402663848727,47.08943526297802
RIL102,52.499834630445925,52.794587419313174,51.95479309776108
RIL103,45.356768511244894,44.717381279941534,42.453943288554875
RIL104,51.22659696714035,48.028806818271946,50.346037665894954
RIL105,,,
RIL106,47.538291367952056,44.94791824513048,41.23611598670034
RIL107,46.14220761223846,48.97041648386691,50.52851453566891
RIL108,53.300572603491105,55.743473802037734,54.626272882993106
RIL109,52.67303888803919,55.23542037944865,58.7454622722806
RIL110,48.28103789779853,50.3524422661909,47.54843897997887
RIL111,53.02564623554755,54.69940723656534,52.672519897715794
RIL112,54.97499251939599,54.12444882199828,54.66601214205347
RIL113,,,
RIL114,54.27434945738496,52.07205514656014,53.97350994140337
RIL115,42.38294767069426,42.30130125175671,38.64551369704956
RIL116,51.579486955985324,53.82747876559689,48.545948630616145
RIL117,63.67165615361886,64.73869331850453,62.371800766016825
RIL118,55.036865705343295,57.26372274501678,52.358314742688805
RIL119,56.977661818815776,55.71368048037738,55.102894137453106
RIL120,53.538393287433664,58.11886657078209,55.418840519333436
RIL121,48.924125303589484,50.24023055495108,47.40605135798636
RIL122,48.468342130966924,54.52682197252489,48.27179179384575
RIL123,37.995447353864165,43.90819710995768,38.642400904205026
RIL124,,,
RIL125,40.02167695394397,46.00466327657242,41.90841566868458
RIL126,53.848185682352586,57.234474450345395,48.323695636600455
RIL127,51.877200078093715,55.60824728937569,52.0560092323671
RIL128,54.54509275674533,54.20613663063148,53.13829062002744
RIL129,57.28017454106337,60.07420199567594,56.24884552629576
RIL130,50.36892022696947,57.05089786306131,52.15200874939797
