Marker,Chr,bp,cM
M01_001,1,0,0.0
M01_002,1,625000,2.5
M01_003,1,1250000,5.0
M01_004,1,1875000,7.5
M01_005,1,2500000,10.0
M01_006,1,3125000,12.5
M01_007,1,3750000,15.0
M01_008,1,4375000,17.5
M01_009,1,5000000,20.0
M01_010,1,5625000,22.5
M01_011,1,6250000,25.0
M01_012,1,6875000,27.5
M01_013,1,7500000,30.0
M01_014,1,8125000,32.5
M01_015,1,8750000,35.0
M01_016,1,9375000,37.5
M01_017,1,10000000,40.0
M01_018,1,10625000,42.5
M01_019,1,11250000,45.0
M01_020,1,11875000,47.5
M01_021,1,12500000,50.0
M01_022,1,13125000,52.5
M01_023,1,13750000,55.0
M01_024,1,14375000,57.5
M01_025,1,15000000,60.0
M01_026,1,15625000,62.5
M01_027,1,16250000,65.0
M01_028,1,16875000,67.5
M01_029,1,17500000,70.0
M01_030,1,18125000,72.5
M01_031,1,18750000,75.0
M01_032,1,19375000,77.5
M01_033,1,20000000,80.0
M01_034,1,20625000,82.5
M01_035,1,21250000,85.0
M01_036,1,21875000,87.5
M01_037,1,22500000,90.0
M01_038,1,23125000,92.5
M01_039,1,23750000,95.0
M01_040,1,24375000,97.5
M02_001,2,0,0.0
M02_002,2,625000,2.5
M02_003,2,1250000,5.0
M02_004,2,1875000,7.5
M02_005,2,2500000,10.0
M02_006,2,3125000,12.5
M02_007,2,3750000,15.0
M02_008,2,4375000,17.5
M02_009,2,5000000,20.0
M02_010,2,5625000,22.5
M02_011,2,6250000,25.0
M02_012,2,6875000,27.5
M02_013,2,7500000,30.0
M02_014,2,8125000,32.5
M02_015,2,8750000,35.0
M02_016,2,9375000,37.5
M02_017,2,10000000,40.0
M02_018,2,10625000,42.5
M02_019,2,11250000,45.0
M02_020,2,11875000,47.5
M02_021,2,12500000,50.0
M02_022,2,13125000,52.5
M02_023,2,13750000,55.0
M02_024,2,14375000,57.5
M02_025,2,15000000,60.0
M02_026,2,15625000,62.5
M02_027,2,16250000,65.0
M02_028,2,16875000,67.5
M02_029,2,17500000,70.0
M02_030,2,18125000,72.5
M02_031,2,18750000,75.0
M02_032,2,19375000,77.5
M02_033,2,20000000,80.0
M02_034,2,20625000,82.5
M02_035,2,21250000,85.0
M02_036,2,21875000,87.5
M02_037,2,22500000,90.0
M02_038,2,23125000,92.5
M02_039,2,23750000,95.0
M02_040,2,24375000,97.5
M03_001,3,0,0.0
M03_002,3,625000,2.5
M03_003,3,1250000,5.0
M03_004,3,1875000,7.5
M03_005,3,2500000,10.0
M03_006,3,3125000,12.5
M03_007,3,3750000,15.0
M03_008,3,4375000,17.5
M03_009,3,5000000,20.0
M03_010,3,5625000,22.5
M03_011,3,6250000,25.0
M03_012,3,6875000,27.5
M03_013,3,7500000,30.0
M03_014,3,8125000,32.5
M03_015,3,8750000,35.0
M03_016,3,9375000,37.5
M03_017,3,10000000,40.0
M03_018,3,10625000,42.5
M03_019,3,11250000,45.0
M03_020,3,11875000,47.5
M03_021,3,12500000,50.0
M03_022,3,13125000,52.5
M03_023,3,13750000,55.0
M03_024,3,14375000,57.5
M03_025,3,15000000,60.0
M03_026,3,15625000,62.5
M03_027,3,16250000,65.0
M03_028,3,16875000,67.5
M03_029,3,17500000,70.0
M03_030,3,18125000,72.5
M03_031,3,18750000,75.0
M03_032,3,19375000,77.5
M03_033,3,20000000,80.0
M03_034,3,20625000,82.5
M03_035,3,21250000,85.0
M03_036,3,21875000,87.5
M03_037,3,22500000,90.0
M03_038,3,23125000,92.5
M03_039,3,23750000,95.0
M03_040,3,24375000,97.5
M04_001,4,0,0.0
M04_002,4,625000,2.5
M04_003,4,1250000,5.0
M04_004,4,1875000,7.5
M04_005,4,2500000,10.0
M04_006,4,3125000,12.5
M04_007,4,3750000,15.0
M04_008,4,4375000,17.5
M04_009,4,5000000,20.0
M04_010,4,5625000,22.5
M04_011,4,6250000,25.0
M04_012,4,6875000,27.5
M04_013,4,7500000,30.0
M04_014,4,8125000,32.5
M04_015,4,8750000,35.0
M04_016,4,9375000,37.5
M04_017,4,10000000,40.0
M04_018,4,10625000,42.5
M04_019,4,11250000,45.0
M04_020,4,11875000,47.5
M04_021,4,12500000,50.0
M04_022,4,13125000,52.5
M04_023,4,13750000,55.0
M04_024,4,14375000,57.5
M04_025,4,15000000,60.0
M04_026,4,15625000,62.5
M04_027,4,16250000,65.0
M04_028,4,16875000,67.5
M04_029,4,17500000,70.0
M04_030,4,18125000,72.5
M04_031,4,18750000,75.0
M04_032,4,19375000,77.5
M04_033,4,20000000,80.0
M04_034,4,20625000,82.5
M04_035,4,21250000,85.0
M04_036,4,21875000,87.5
M04_037,4,22500000,90.0
M04_038,4,23125000,92.5
M04_039,4,23750000,95.0
M04_040,4,24375000,97.5
M05_001,5,0,0.0
M05_002,5,625000,2.5
M05_003,5,1250000,5.0
M05_004,5,1875000,7.5
M05_005,5,2500000,10.0
M05_006,5,3125000,12.5
M05_007,5,3750000,15.0
M05_008,5,4375000,17.5
M05_009,5,5000000,20.0
M05_010,5,5625000,22.5
M05_011,5,6250000,25.0
M05_012,5,6875000,27.5
M05_013,5,7500000,30.0
M05_014,5,8125000,32.5
M05_015,5,8750000,35.0
M05_016,5,9375000,37.5
M05_017,5,10000000,40.0
M05_018,5,10625000,42.5
M05_019,5,11250000,45.0
M05_020,5,11875000,47.5
M05_021,5,12500000,50.0
M05_022,5,13125000,52.5
M05_023,5,13750000,55.0
M05_024,5,14375000,57.5
M05_025,5,15000000,60.0
M05_026,5,15625000,62.5
M05_027,5,16250000,65.0
M05_028,5,16875000,67.5
M05_029,5,17500000,70.0
M05_030,5,18125000,72.5
M05_031,5,18750000,75.0
M05_032,5,19375000,77.5
M05_033,5,20000000,80.0
M05_034,5,20625000,82.5
M05_035,5,21250000,85.0
M05_036,5,21875000,87.5
M05_037,5,22500000,90.0
M05_038,5,23125000,92.5
M05_039,5,23750000,95.0
M05_040,5,24375000,97.5
M06_001,6,0,0.0
M06_002,6,625000,2.5
M06_003,6,1250000,5.0
M06_004,6,1875000,7.5
M06_005,6,2500000,10.0
M06_006,6,3125000,12.5
M06_007,6,3750000,15.0
M06_008,6,4375000,17.5
M06_009,6,5000000,20.0
M06_010,6,5625000,22.5
M06_011,6,6250000,25.0
M06_012,6,6875000,27.5
M06_013,6,7500000,30.0
