Marker,Chr,bp,cM
M01_001,1,0,0.0
M01_002,1,500000,2.0
M01_003,1,1000000,4.0
M01_004,1,1500000,6.0
M01_005,1,2000000,8.0
M01_006,1,2500000,10.0
M01_007,1,3000000,12.0
M01_008,1,3500000,14.0
M01_009,1,4000000,16.0
M01_010,1,4500000,18.0
M01_011,1,5000000,20.0
M01_012,1,5500000,22.0
M01_013,1,6000000,24.0
M01_014,1,6500000,26.0
M01_015,1,7000000,28.0
M01_016,1,7500000,30.0
M01_017,1,8000000,32.0
M01_018,1,8500000,34.0
M01_019,1,9000000,36.0
M01_020,1,9500000,38.0
M01_021,1,10000000,40.0
M01_022,1,10500000,42.0
M01_023,1,11000000,44.0
M01_024,1,11500000,46.0
M01_025,1,12000000,48.0
M01_026,1,12500000,50.0
M01_027,1,13000000,52.0
M01_028,1,13500000,54.0
M01_029,1,14000000,56.0
M01_030,1,14500000,58.0
M01_031,1,15000000,60.0
M01_032,1,15500000,62.0
M01_033,1,16000000,64.0
M01_034,1,16500000,66.0
M01_035,1,17000000,68.0
M01_036,1,17500000,70.0
M01_037,1,18000000,72.0
M01_038,1,18500000,74.0
M01_039,1,19000000,76.0
M01_040,1,19500000,78.0
M01_041,1,20000000,80.0
M01_042,1,20500000,82.0
M01_043,1,21000000,84.0
M01_044,1,21500000,86.0
M01_045,1,22000000,88.0
M01_046,1,22500000,90.0
M01_047,1,23000000,92.0
M01_048,1,23500000,94.0
M01_049,1,24000000,96.0
M01_050,1,24500000,98.0
M02_001,2,0,0.0
M02_002,2,500000,2.0
M02_003,2,1000000,4.0
M02_004,2,1500000,6.0
M02_005,2,2000000,8.0
M02_006,2,2500000,10.0
M02_007,2,3000000,12.0
M02_008,2,3500000,14.0
M02_009,2,4000000,16.0
M02_010,2,4500000,18.0
M02_011,2,5000000,20.0
M02_012,2,5500000,22.0
M02_013,2,6000000,24.0
M02_014,2,6500000,26.0
M02_015,2,7000000,28.0
M02_016,2,7500000,30.0
M02_017,2,8000000,32.0
M02_018,2,8500000,34.0
M02_019,2,9000000,36.0
M02_020,2,9500000,38.0
M02_021,2,10000000,40.0
M02_022,2,10500000,42.0
M02_023,2,11000000,44.0
M02_024,2,11500000,46.0
M02_025,2,12000000,48.0
M02_026,2,12500000,50.0
M02_027,2,13000000,52.0
M02_028,2,13500000,54.0
M02_029,2,14000000,56.0
M02_030,2,14500000,58.0
M02_031,2,15000000,60.0
M02_032,2,15500000,62.0
M02_033,2,16000000,64.0
M02_034,2,16500000,66.0
M02_035,2,17000000,68.0
M02_036,2,17500000,70.0
M02_037,2,18000000,72.0
M02_038,2,18500000,74.0
M02_039,2,19000000,76.0
M02_040,2,19500000,78.0
M02_041,2,20000000,80.0
M02_042,2,20500000,82.0
M02_043,2,21000000,84.0
M02_044,2,21500000,86.0
M02_045,2,22000000,88.0
M02_046,2,22500000,90.0
M02_047,2,23000000,92.0
M02_048,2,23500000,94.0
M02_049,2,24000000,96.0
M02_050,2,24500000,98.0
M03_001,3,0,0.0
M03_002,3,500000,2.0
M03_003,3,1000000,4.0
M03_004,3,1500000,6.0
M03_005,3,2000000,8.0
M03_006,3,2500000,10.0
M03_007,3,3000000,12.0
M03_008,3,3500000,14.0
M03_009,3,4000000,16.0
M03_010,3,4500000,18.0
M03_011,3,5000000,20.0
M03_012,3,5500000,22.0
M03_013,3,6000000,24.0
M03_014,3,6500000,26.0
M03_015,3,7000000,28.0
M03_016,3,7500000,30.0
M03_017,3,8000000,32.0
M03_018,3,8500000,34.0
M03_019,3,9000000,36.0
M03_020,3,9500000,38.0
M03_021,3,10000000,40.0
M03_022,3,10500000,42.0
M03_023,3,11000000,44.0
M03_024,3,11500000,46.0
M03_025,3,12000000,48.0
M03_026,3,12500000,50.0
M03_027,3,13000000,52.0
M03_028,3,13500000,54.0
M03_029,3,14000000,56.0
M03_030,3,14500000,58.0
M03_031,3,15000000,60.0
M03_032,3,15500000,62.0
M03_033,3,16000000,64.0
M03_034,3,16500000,66.0
M03_035,3,17000000,68.0
M03_036,3,17500000,70.0
M03_037,3,18000000,72.0
M03_038,3,18500000,74.0
M03_039,3,19000000,76.0
M03_040,3,19500000,78.0
M03_041,3,20000000,80.0
M03_042,3,20500000,82.0
M03_043,3,21000000,84.0
M03_044,3,21500000,86.0
M03_045,3,22000000,88.0
M03_046,3,22500000,90.0
M03_047,3,23000000,92.0
M03_048,3,23500000,94.0
M03_049,3,24000000,96.0
M03_050,3,24500000,98.0
M04_001,4,0,0.0
M04_002,4,500000,2.0
M04_003,4,1000000,4.0
M04_004,4,1500000,6.0
M04_005,4,2000000,8.0
M04_006,4,2500000,10.0
M04_007,4,3000000,12.0
M04_008,4,3500000,14.0
M04_009,4,4000000,16.0
M04_010,4,4500000,18.0
M04_011,4,5000000,20.0
M04_012,4,5500000,22.0
M04_013,4,6000000,24.0
M04_014,4,6500000,26.0
M04_015,4,7000000,28.0
M04_016,4,7500000,30.0
M04_017,4,8000000,32.0
M04_018,4,8500000,34.0
M04_019,4,9000000,36.0
M04_020,4,9500000,38.0
M04_021,4,10000000,40.0
M04_022,4,10500000,42.0
M04_023,4,11000000,44.0
M04_024,4,11500000,46.0
M04_025,4,12000000,48.0
M04_026,4,12500000,50.0
M04_027,4,13000000,52.0
M04_028,4,13500000,54.0
M04_029,4,14000000,56.0
M04_030,4,14500000,58.0
M04_031,4,15000000,60.0
M04_032,4,15500000,62.0
M04_033,4,16000000,64.0
M04_034,4,16500000,66.0
M04_035,4,17000000,68.0
M04_036,4,17500000,70.0
M04_037,4,18000000,72.0
M04_038,4,18500000,74.0
M04_039,4,19000000,76.0
M04_040,4,19500000,78.0
M04_041,4,20000000,80.0
M04_042,4,20500000,82.0
M04_043,4,21000000,84.0
M04_044,4,21500000,86.0
M04_045,4,22000000,88.0
M04_046,4,22500000,90.0
M04_047,4,23000000,92.0
M04_048,4,23500000,94.0
M04_049,4,24000000,96.0
M04_050,4,24500000,98.0
M05_001,5,0,0.0
M05_002,5,500000,2.0
M05_003,5,1000000,4.0
M05_004,5,1500000,6.0
M05_005,5,2000000,8.0
M05_006,5,2500000,10.0
M05_007,5,3000000,12.0
M05_008,5,3500000,14.0
M05_009,5,4000000,16.0
M05_010,5,4500000,18.0
M05_011,5,5000000,20.0
M05_012,5,5500000,22.0
M05_013,5,6000000,24.0
M05_014,5,6500000,26.0
M05_015,5,7000000,28.0
M05_016,5,7500000,30.0
M05_017,5,8000000,32.0
M05_018,5,8500000,34.0
M05_019,5,9000000,36.0
M05_020,5,9500000,38.0
M05_021,5,10000000,40.0
M05_022,5,10500000,42.0
M05_023,5,11000000,44.0
M05_024,5,11500000,46.0
M05_025,5,12000000,48.0
M05_026,5,12500000,50.0
M05_027,5,13000000,52.0
M05_028,5,13500000,54.0
M05_029,5,14000000,56.0
M05_030,5,14500000,58.0
M05_031,5,15000000,60.0
M05_032,5,15500000,62.0
M05_033,5,16000000,64.0
M05_034,5,16500000,66.0
M05_035,5,17000000,68.0
M05_036,5,17500000,70.0
M05_037,5,18000000,72.0
M05_038,5,18500000,74.0
M05_039,5,19000000,76.0
M05_040,5,19500000,78.0
M05_041,5,20000000,80.0
M05_042,5,20500000,82.0
M05_043,5,21000000,84.0
M05_044,5,21500000,86.0
M05_045,5,22000000,88.0
M05_046,5,22500000,90.0
M05_047,5,23000000,92.0
M05_048,5,23500000,94.0
M05_049,5,24000000,96.0
M05_050,5,24500000,98.0
M06_001,6,0,0.0
M06_002,6,500000,2.0
M06_003,6,1000000,4.0
M06_004,6,1500000,6.0
M06_005,6,2000000,8.0
M06_006,6,2500000,10.0
M06_007,6,3000000,12.0
M06_008,6,3500000,14.0
M06_009,6,4000000,16.0
M06_010,6,4500000,18.0
M06_011,6,5000000,20.0
M06_012,6,5500000,22.0
M06_013,6,6000000,24.0
M06_014,6,6500000,26.0
M06_015,6,7000000,28.0
M06_016,6,7500000,30.0
M06_017,6,8000000,32.0
M06_018,6,8500000,34.0
M06_019,6,9000000,36.0
M06_020,6,9500000,38.0
M06_021,6,10000000,40.0
M06_022,6,10500000,42.0
M06_023,6,11000000,44.0
M06_024,6,11500000,46.0
M06_025,6,12000000,48.0
M06_026,6,12500000,50.0
M06_027,6,13000000,52.0
M06_028,6,13500000,54.0
M06_029,6,14000000,56.0
M06_030,6,14500000,58.0
M06_031,6,15000000,60.0
M06_032,6,15500000,62.0
M06_033,6,16000000,64.0
M06_034,6,16500000,66.0
M06_035,6,17000000,68.0
M06_036,6,17500000,70.0
M06_037,6,18000000,72.0
M06_038,6,18500000,74.0
M06_039,6,19000000,76.0
